FIPS,MSAID,MSANAME,ST,ALLCOMPLEV,EDCOMPLEV,HECOMPLEV,NBCOMPLEV,ALLCOMP,EDCOMP,HECOMP,NBCOMP,ED1Z,ED2Z,ED3Z,ED4Z,ED5Z,ED6Z,ED7Z,ED8Z,HE3Z,HE4Z,HE5Z,HE6Z,HE7Z,HE8Z,NB1Z,NB2Z,NB3Z,NB4Z,NB5Z,OL1,OL2,OL3,OL4,OL5,OL6,OL7
26163564800,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,Very High,High,High,0.441049,0.810102,0.22537,0.287674,1.10113,1.15213,0.76281,1.04159,0.93681,0.73104,-0.27576,1.03107,0.57729,-0.27213,0.15799,0.82016,0.77915,-0.71024,-0.23435,0.98205,0.75376,0.72151,-0.7846,1114,32,745,118,4,155,60
26163564900,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Low,Low,Low,Low,-0.368253,-0.497021,-0.221498,-0.386238,-1.24723,-0.02012,0.05122,-0.09459,-0.80843,-0.34926,-0.27576,-1.232,0.47298,-0.4864,0.13996,0.08312,-0.3223,-1.21635,1.21923,-1.13925,-0.85365,-0.26556,-0.89196,603,66,389,87,8,5,48
26163565000,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,High,Very High,High,High,0.347444,0.628035,0.134832,0.279464,0.82799,1.0665,0.72856,0.61746,-0.45694,0.73104,-0.27576,1.78543,0.47298,-0.49572,-0.12844,0.65686,0.79213,-0.48882,0.33161,0.45164,0.39778,0.83518,-0.61889,1375,53,737,107,2,409,67
26163565100,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Moderate,Low,High,Moderate,0.034691,-0.230201,0.236112,0.098162,-0.49988,0.0914,0.33587,0.30824,-0.22022,-0.34926,-0.27576,-1.232,1.20317,-0.48873,0.17883,-0.15047,0.56169,0.11218,0.81274,0.10655,0.11647,-0.51609,-0.02886,762,46,391,238,1,53,33
26163565200,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,High,Moderate,High,Very High,0.322513,0.117951,0.198878,0.65071,0.74487,0.99045,0.3646,0.58321,-1.81207,0.82596,-0.27576,-0.47765,0.47298,-0.48494,0.17754,0.68107,0.2028,0.14382,0.84493,0.62222,0.97559,0.53241,0.2784,968,59,514,227,3,140,25
26163565300,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,High,High,High,Very High,0.3771,0.307869,0.274215,0.549216,0.42263,0.99045,0.3646,0.58321,0.78386,0.82596,-0.27576,-1.232,0.83807,-0.55367,0.17662,0.92341,0.19612,0.06474,1.19074,0.07157,0.36495,0.63495,0.48387,1348,57,386,754,8,89,54
26163565600,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Low,Moderate,Very Low,Moderate,-0.132151,-0.148036,-0.334618,0.086202,-0.08634,0.04565,0.05122,-0.09459,0.75679,-0.34926,-0.27576,-1.232,-0.9874,-1.01346,0.11272,-0.40963,0.98448,-0.69442,-0.35083,0.80906,0.10992,0.22423,-0.36137,560,22,465,36,3,8,26
26163565700,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Moderate,Moderate,Low,Moderate,-0.018575,0.046246,-0.250847,0.148876,0.46758,-0.04635,0.05122,-0.09459,0.34042,-0.34926,-0.27576,0.27671,-0.9874,-0.81402,0.02504,0.08877,0.78206,-0.59953,-0.72632,0.86929,0.28998,0.7976,-0.48617,883,70,603,105,0,52,53
26163565800,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Low,Low,Moderate,Moderate,-0.107776,-0.480963,0.035167,0.122468,-0.93909,-0.89598,-0.7006,-0.26582,-0.32072,-0.34926,-0.27576,-0.10047,-0.37891,-0.32933,0.18444,0.49756,0.2674,-0.03016,0.04261,0.58041,-0.3922,0.75414,-0.37262,853,61,630,107,3,12,40
26163565900,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Low,Low,Moderate,Moderate,-0.055534,-0.258009,-0.03467,0.126078,-0.24806,-0.8264,-0.16441,0.00416,-0.48105,-0.34926,-0.27576,0.27671,-0.9874,-0.31715,0.18414,0.2412,0.66972,0.00147,-0.12843,0.18392,0.31728,0.60007,-0.34245,611,48,428,97,1,12,25
